filepath,source,label,duration_sec,sample_rate,channels,corrupt
data\raw\deep_voice\fake\musk-to-margot.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\musk-to-obama.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\musk-to-ryan.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\musk-to-taylor.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\musk-to-trump.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\Obama-to-Biden.wav,deep_voice,fake,600.0,40000,2,False
data\raw\deep_voice\fake\obama-to-linus.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\obama-to-margot.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\obama-to-musk.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\obama-to-ryan.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\obama-to-taylor.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\Obama-to-Trump.wav,deep_voice,fake,600.0,40000,2,False
data\raw\deep_voice\fake\ryan-to-biden.wav,deep_voice,fake,93.69036281179139,44100,2,False
data\raw\deep_voice\fake\ryan-to-linus.wav,deep_voice,fake,93.69036281179139,44100,2,False
data\raw\deep_voice\fake\ryan-to-margot.wav,deep_voice,fake,93.69036281179139,44100,2,False
data\raw\deep_voice\fake\ryan-to-musk.wav,deep_voice,fake,93.69036281179139,44100,2,False
data\raw\deep_voice\fake\ryan-to-obama.wav,deep_voice,fake,93.69036281179139,44100,2,False
data\raw\deep_voice\fake\ryan-to-taylor.wav,deep_voice,fake,93.69036281179139,44100,2,False
data\raw\deep_voice\fake\ryan-to-trump.wav,deep_voice,fake,93.69036281179139,44100,2,False
data\raw\deep_voice\fake\taylor-to-biden.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\taylor-to-linus.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\taylor-to-margot.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\taylor-to-musk.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\taylor-to-obama.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\taylor-to-ryan.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\taylor-to-trump.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\trump-to-Biden.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\trump-to-linus.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\trump-to-margot.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\trump-to-musk.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\trump-to-Obama.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\trump-to-ryan.wav,deep_voice,fake,600.0,44100,2,False
data\raw\deep_voice\fake\trump-to-taylor.wav,deep_voice,fake,600.0,44100,2,False
data\raw\gary_stafford\real\gs_00000.wav,gary_stafford,real,5.236984126984127,44100,2,False
data\raw\gary_stafford\real\gs_00001.wav,gary_stafford,real,4.641995464852608,44100,2,False
data\raw\gary_stafford\real\gs_00002.wav,gary_stafford,real,5.79,44100,2,False
data\raw\gary_stafford\real\gs_00003.wav,gary_stafford,real,3.7209977324263037,44100,2,False
data\raw\gary_stafford\real\gs_00004.wav,gary_stafford,real,4.447006802721089,44100,2,False
data\raw\gary_stafford\real\gs_00005.wav,gary_stafford,real,9.442993197278911,44100,2,False
data\raw\gary_stafford\real\gs_00006.wav,gary_stafford,real,6.533015873015873,44100,2,False
data\raw\gary_stafford\real\gs_00007.wav,gary_stafford,real,2.8060090702947846,44100,2,False
data\raw\gary_stafford\real\gs_00008.wav,gary_stafford,real,3.33,44100,2,False
data\raw\gary_stafford\real\gs_00009.wav,gary_stafford,real,4.092993197278911,44100,2,False
data\raw\gary_stafford\real\gs_00010.wav,gary_stafford,real,10.311995464852608,44100,2,False
data\raw\gary_stafford\real\gs_00011.wav,gary_stafford,real,2.804988662131519,44100,2,False
data\raw\gary_stafford\real\gs_00012.wav,gary_stafford,real,3.74,44100,2,False
data\raw\gary_stafford\real\gs_00013.wav,gary_stafford,real,2.8060090702947846,44100,2,False
data\raw\gary_stafford\real\gs_00014.wav,gary_stafford,real,4.980997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00015.wav,gary_stafford,real,5.545986394557823,44100,2,False
data\raw\gary_stafford\real\gs_00016.wav,gary_stafford,real,5.609002267573696,44100,2,False
data\raw\gary_stafford\real\gs_00017.wav,gary_stafford,real,3.9250113378684808,44100,2,False
data\raw\gary_stafford\real\gs_00018.wav,gary_stafford,real,3.949002267573696,44100,2,False
data\raw\gary_stafford\real\gs_00019.wav,gary_stafford,real,3.0419954648526075,44100,2,False
data\raw\gary_stafford\real\gs_00020.wav,gary_stafford,real,4.61498866213152,44100,2,False
data\raw\gary_stafford\real\gs_00021.wav,gary_stafford,real,7.290997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00022.wav,gary_stafford,real,5.74498866213152,44100,2,False
data\raw\gary_stafford\real\gs_00023.wav,gary_stafford,real,9.410997732426305,44100,2,False
data\raw\gary_stafford\real\gs_00024.wav,gary_stafford,real,6.754988662131519,44100,2,False
data\raw\gary_stafford\real\gs_00025.wav,gary_stafford,real,3.044013605442177,44100,2,False
data\raw\gary_stafford\real\gs_00026.wav,gary_stafford,real,6.3139909297052155,44100,2,False
data\raw\gary_stafford\real\gs_00027.wav,gary_stafford,real,3.282018140589569,44100,2,False
data\raw\gary_stafford\real\gs_00028.wav,gary_stafford,real,3.5270068027210884,44100,2,False
data\raw\gary_stafford\real\gs_00029.wav,gary_stafford,real,2.855986394557823,44100,2,False
data\raw\gary_stafford\real\gs_00030.wav,gary_stafford,real,2.9070068027210882,44100,2,False
data\raw\gary_stafford\real\gs_00031.wav,gary_stafford,real,5.952018140589569,44100,2,False
data\raw\gary_stafford\real\gs_00032.wav,gary_stafford,real,3.4539909297052156,44100,2,False
data\raw\gary_stafford\real\gs_00033.wav,gary_stafford,real,4.382993197278911,44100,2,False
data\raw\gary_stafford\real\gs_00034.wav,gary_stafford,real,3.2850113378684807,44100,2,False
data\raw\gary_stafford\real\gs_00035.wav,gary_stafford,real,4.890997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00036.wav,gary_stafford,real,3.3249886621315192,44100,2,False
data\raw\gary_stafford\real\gs_00037.wav,gary_stafford,real,3.0970068027210886,44100,2,False
data\raw\gary_stafford\real\gs_00038.wav,gary_stafford,real,6.137006802721088,44100,2,False
data\raw\gary_stafford\real\gs_00039.wav,gary_stafford,real,3.0870068027210884,44100,2,False
data\raw\gary_stafford\real\gs_00040.wav,gary_stafford,real,6.430997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00041.wav,gary_stafford,real,5.051995464852608,44100,2,False
data\raw\gary_stafford\real\gs_00042.wav,gary_stafford,real,3.3719954648526076,44100,2,False
data\raw\gary_stafford\real\gs_00043.wav,gary_stafford,real,6.433015873015873,44100,2,False
data\raw\gary_stafford\real\gs_00044.wav,gary_stafford,real,3.156984126984127,44100,2,False
data\raw\gary_stafford\real\gs_00045.wav,gary_stafford,real,4.742993197278912,44100,2,False
data\raw\gary_stafford\real\gs_00046.wav,gary_stafford,real,4.221995464852608,44100,2,False
data\raw\gary_stafford\real\gs_00047.wav,gary_stafford,real,4.148004535147392,44100,2,False
data\raw\gary_stafford\real\gs_00048.wav,gary_stafford,real,3.9170068027210885,44100,2,False
data\raw\gary_stafford\real\gs_00049.wav,gary_stafford,real,4.34,44100,2,False
data\raw\gary_stafford\real\gs_00050.wav,gary_stafford,real,3.9319954648526076,44100,2,False
data\raw\gary_stafford\real\gs_00051.wav,gary_stafford,real,3.954988662131519,44100,2,False
data\raw\gary_stafford\real\gs_00052.wav,gary_stafford,real,3.5570068027210886,44100,2,False
data\raw\gary_stafford\real\gs_00053.wav,gary_stafford,real,2.981995464852608,44100,2,False
data\raw\gary_stafford\real\gs_00054.wav,gary_stafford,real,3.691995464852608,44100,2,False
data\raw\gary_stafford\real\gs_00055.wav,gary_stafford,real,5.382993197278911,44100,2,False
data\raw\gary_stafford\real\gs_00056.wav,gary_stafford,real,3.5090022675736963,44100,2,False
data\raw\gary_stafford\real\gs_00057.wav,gary_stafford,real,4.516984126984127,44100,2,False
data\raw\gary_stafford\real\gs_00058.wav,gary_stafford,real,3.144988662131519,44100,2,False
data\raw\gary_stafford\real\gs_00059.wav,gary_stafford,real,11.18498866213152,44100,2,False
data\raw\gary_stafford\real\gs_00060.wav,gary_stafford,real,2.631995464852608,44100,2,False
data\raw\gary_stafford\real\gs_00061.wav,gary_stafford,real,2.734013605442177,44100,2,False
data\raw\gary_stafford\real\gs_00062.wav,gary_stafford,real,3.977981859410431,44100,2,False
data\raw\gary_stafford\real\gs_00063.wav,gary_stafford,real,2.7919954648526075,44100,2,False
data\raw\gary_stafford\real\gs_00064.wav,gary_stafford,real,2.7739909297052154,44100,2,False
data\raw\gary_stafford\real\gs_00065.wav,gary_stafford,real,3.976984126984127,44100,2,False
data\raw\gary_stafford\real\gs_00066.wav,gary_stafford,real,2.7439909297052156,44100,2,False
data\raw\gary_stafford\real\gs_00067.wav,gary_stafford,real,2.74,44100,2,False
data\raw\gary_stafford\real\gs_00068.wav,gary_stafford,real,4.047006802721088,44100,2,False
data\raw\gary_stafford\real\gs_00069.wav,gary_stafford,real,3.0570068027210886,44100,2,False
data\raw\gary_stafford\real\gs_00070.wav,gary_stafford,real,2.546984126984127,44100,2,False
data\raw\gary_stafford\real\gs_00071.wav,gary_stafford,real,3.513990929705215,44100,2,False
data\raw\gary_stafford\real\gs_00072.wav,gary_stafford,real,4.95,44100,2,False
data\raw\gary_stafford\real\gs_00073.wav,gary_stafford,real,2.71,44100,2,False
data\raw\gary_stafford\real\gs_00074.wav,gary_stafford,real,3.0849886621315195,44100,2,False
data\raw\gary_stafford\real\gs_00075.wav,gary_stafford,real,5.46501133786848,44100,2,False
data\raw\gary_stafford\real\gs_00076.wav,gary_stafford,real,2.796984126984127,44100,2,False
data\raw\gary_stafford\real\gs_00077.wav,gary_stafford,real,3.1460090702947845,44100,2,False
data\raw\gary_stafford\real\gs_00078.wav,gary_stafford,real,4.113015873015873,44100,2,False
data\raw\gary_stafford\real\gs_00079.wav,gary_stafford,real,5.008004535147392,44100,2,False
data\raw\gary_stafford\real\gs_00080.wav,gary_stafford,real,4.45498866213152,44100,2,False
data\raw\gary_stafford\real\gs_00081.wav,gary_stafford,real,3.372018140589569,44100,2,False
data\raw\gary_stafford\real\gs_00082.wav,gary_stafford,real,3.2339909297052154,44100,2,False
data\raw\gary_stafford\real\gs_00083.wav,gary_stafford,real,6.459002267573696,44100,2,False
data\raw\gary_stafford\real\gs_00084.wav,gary_stafford,real,12.131995464852608,44100,2,False
data\raw\gary_stafford\real\gs_00085.wav,gary_stafford,real,5.594013605442177,44100,2,False
data\raw\gary_stafford\real\gs_00086.wav,gary_stafford,real,3.1370068027210882,44100,2,False
data\raw\gary_stafford\real\gs_00087.wav,gary_stafford,real,4.690997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00088.wav,gary_stafford,real,7.344013605442177,44100,2,False
data\raw\gary_stafford\real\gs_00089.wav,gary_stafford,real,3.9309977324263037,44100,2,False
data\raw\gary_stafford\real\gs_00090.wav,gary_stafford,real,2.6670068027210885,44100,2,False
data\raw\gary_stafford\real\gs_00091.wav,gary_stafford,real,2.9270068027210883,44100,2,False
data\raw\gary_stafford\real\gs_00092.wav,gary_stafford,real,2.710997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00093.wav,gary_stafford,real,5.859002267573696,44100,2,False
data\raw\gary_stafford\real\gs_00094.wav,gary_stafford,real,3.8160090702947844,44100,2,False
data\raw\gary_stafford\real\gs_00095.wav,gary_stafford,real,6.95,44100,2,False
data\raw\gary_stafford\real\gs_00096.wav,gary_stafford,real,5.3119954648526075,44100,2,False
data\raw\gary_stafford\real\gs_00097.wav,gary_stafford,real,3.58,44100,2,False
data\raw\gary_stafford\real\gs_00098.wav,gary_stafford,real,3.8519954648526076,44100,2,False
data\raw\gary_stafford\real\gs_00099.wav,gary_stafford,real,3.6880045351473925,44100,2,False
data\raw\gary_stafford\real\gs_00100.wav,gary_stafford,real,11.783990929705215,44100,2,False
data\raw\gary_stafford\real\gs_00101.wav,gary_stafford,real,9.1,44100,2,False
data\raw\gary_stafford\real\gs_00102.wav,gary_stafford,real,3.3050113378684807,44100,2,False
data\raw\gary_stafford\real\gs_00103.wav,gary_stafford,real,4.379002267573696,44100,2,False
data\raw\gary_stafford\real\gs_00104.wav,gary_stafford,real,5.002018140589569,44100,2,False
data\raw\gary_stafford\real\gs_00105.wav,gary_stafford,real,5.969002267573696,44100,2,False
data\raw\gary_stafford\real\gs_00106.wav,gary_stafford,real,3.3580045351473924,44100,2,False
data\raw\gary_stafford\real\gs_00107.wav,gary_stafford,real,3.5270068027210884,44100,2,False
data\raw\gary_stafford\real\gs_00108.wav,gary_stafford,real,2.840997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00109.wav,gary_stafford,real,2.920997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00110.wav,gary_stafford,real,4.155986394557823,44100,2,False
data\raw\gary_stafford\real\gs_00111.wav,gary_stafford,real,7.566984126984127,44100,2,False
data\raw\gary_stafford\real\gs_00112.wav,gary_stafford,real,2.56,44100,2,False
data\raw\gary_stafford\real\gs_00113.wav,gary_stafford,real,3.122018140589569,44100,2,False
data\raw\gary_stafford\real\gs_00114.wav,gary_stafford,real,7.238979591836735,44100,2,False
data\raw\gary_stafford\real\gs_00115.wav,gary_stafford,real,9.174013605442177,44100,2,False
data\raw\gary_stafford\real\gs_00116.wav,gary_stafford,real,4.975011337868481,44100,2,False
data\raw\gary_stafford\real\gs_00117.wav,gary_stafford,real,3.7580045351473923,44100,2,False
data\raw\gary_stafford\real\gs_00118.wav,gary_stafford,real,2.7529931972789115,44100,2,False
data\raw\gary_stafford\real\gs_00119.wav,gary_stafford,real,4.238979591836735,44100,2,False
data\raw\gary_stafford\real\gs_00120.wav,gary_stafford,real,6.221995464852608,44100,2,False
data\raw\gary_stafford\real\gs_00121.wav,gary_stafford,real,4.7319954648526075,44100,2,False
data\raw\gary_stafford\real\gs_00122.wav,gary_stafford,real,8.529002267573697,44100,2,False
data\raw\gary_stafford\real\gs_00123.wav,gary_stafford,real,3.435986394557823,44100,2,False
data\raw\gary_stafford\real\gs_00124.wav,gary_stafford,real,4.160997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00125.wav,gary_stafford,real,2.563015873015873,44100,2,False
data\raw\gary_stafford\real\gs_00126.wav,gary_stafford,real,3.5460090702947844,44100,2,False
data\raw\gary_stafford\real\gs_00127.wav,gary_stafford,real,2.870997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00128.wav,gary_stafford,real,2.6129931972789118,44100,2,False
data\raw\gary_stafford\real\gs_00129.wav,gary_stafford,real,5.822993197278912,44100,2,False
data\raw\gary_stafford\real\gs_00130.wav,gary_stafford,real,4.446009070294784,44100,2,False
data\raw\gary_stafford\real\gs_00131.wav,gary_stafford,real,3.1760090702947847,44100,2,False
data\raw\gary_stafford\real\gs_00132.wav,gary_stafford,real,3.7580045351473923,44100,2,False
data\raw\gary_stafford\real\gs_00133.wav,gary_stafford,real,3.8129931972789115,44100,2,False
data\raw\gary_stafford\real\gs_00134.wav,gary_stafford,real,3.809002267573696,44100,2,False
data\raw\gary_stafford\real\gs_00135.wav,gary_stafford,real,3.007981859410431,44100,2,False
data\raw\gary_stafford\real\gs_00136.wav,gary_stafford,real,3.236984126984127,44100,2,False
data\raw\gary_stafford\real\gs_00137.wav,gary_stafford,real,4.93,44100,2,False
data\raw\gary_stafford\real\gs_00138.wav,gary_stafford,real,2.7650113378684806,44100,2,False
data\raw\gary_stafford\real\gs_00139.wav,gary_stafford,real,2.749002267573696,44100,2,False
data\raw\gary_stafford\real\gs_00140.wav,gary_stafford,real,3.11,44100,2,False
data\raw\gary_stafford\real\gs_00141.wav,gary_stafford,real,2.618004535147392,44100,2,False
data\raw\gary_stafford\real\gs_00142.wav,gary_stafford,real,3.001995464852608,44100,2,False
data\raw\gary_stafford\real\gs_00143.wav,gary_stafford,real,3.5570068027210886,44100,2,False
data\raw\gary_stafford\real\gs_00144.wav,gary_stafford,real,3.2660090702947846,44100,2,False
data\raw\gary_stafford\real\gs_00145.wav,gary_stafford,real,2.7570068027210883,44100,2,False
data\raw\gary_stafford\real\gs_00146.wav,gary_stafford,real,6.330997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00147.wav,gary_stafford,real,3.8510204081632655,44100,2,False
data\raw\gary_stafford\real\gs_00148.wav,gary_stafford,real,2.9639909297052154,44100,2,False
data\raw\gary_stafford\real\gs_00149.wav,gary_stafford,real,4.024988662131519,44100,2,False
data\raw\gary_stafford\real\gs_00150.wav,gary_stafford,real,2.7819954648526077,44100,2,False
data\raw\gary_stafford\real\gs_00151.wav,gary_stafford,real,4.984988662131519,44100,2,False
data\raw\gary_stafford\real\gs_00152.wav,gary_stafford,real,7.556984126984127,44100,2,False
data\raw\gary_stafford\real\gs_00153.wav,gary_stafford,real,5.948004535147392,44100,2,False
data\raw\gary_stafford\real\gs_00154.wav,gary_stafford,real,2.7089795918367345,44100,2,False
data\raw\gary_stafford\real\gs_00155.wav,gary_stafford,real,5.291995464852608,44100,2,False
data\raw\gary_stafford\real\gs_00156.wav,gary_stafford,real,4.911995464852608,44100,2,False
data\raw\gary_stafford\real\gs_00157.wav,gary_stafford,real,3.659002267573696,44100,2,False
data\raw\gary_stafford\real\gs_00158.wav,gary_stafford,real,2.61,44100,2,False
data\raw\gary_stafford\real\gs_00159.wav,gary_stafford,real,6.964988662131519,44100,2,False
data\raw\gary_stafford\real\gs_00160.wav,gary_stafford,real,6.21,44100,2,False
data\raw\gary_stafford\real\gs_00161.wav,gary_stafford,real,2.8249886621315192,44100,2,False
data\raw\gary_stafford\real\gs_00162.wav,gary_stafford,real,2.9470068027210883,44100,2,False
data\raw\gary_stafford\real\gs_00163.wav,gary_stafford,real,3.0519954648526078,44100,2,False
data\raw\gary_stafford\real\gs_00164.wav,gary_stafford,real,3.268004535147392,44100,2,False
data\raw\gary_stafford\real\gs_00165.wav,gary_stafford,real,2.91,44100,2,False
data\raw\gary_stafford\real\gs_00166.wav,gary_stafford,real,5.368004535147392,44100,2,False
data\raw\gary_stafford\real\gs_00167.wav,gary_stafford,real,2.808004535147392,44100,2,False
data\raw\gary_stafford\real\gs_00168.wav,gary_stafford,real,2.854013605442177,44100,2,False
data\raw\gary_stafford\real\gs_00169.wav,gary_stafford,real,8.004013605442177,44100,2,False
data\raw\gary_stafford\real\gs_00170.wav,gary_stafford,real,4.922993197278911,44100,2,False
data\raw\gary_stafford\real\gs_00171.wav,gary_stafford,real,6.888004535147393,44100,2,False
data\raw\gary_stafford\real\gs_00172.wav,gary_stafford,real,4.511995464852608,44100,2,False
data\raw\gary_stafford\real\gs_00173.wav,gary_stafford,real,3.1129931972789118,44100,2,False
data\raw\gary_stafford\real\gs_00174.wav,gary_stafford,real,5.533015873015873,44100,2,False
data\raw\gary_stafford\real\gs_00175.wav,gary_stafford,real,8.890997732426303,44100,2,False
data\raw\gary_stafford\real\gs_00176.wav,gary_stafford,real,3.0340136054421767,44100,2,False
data\raw\gary_stafford\real\gs_00177.wav,gary_stafford,real,2.9460090702947848,44100,2,False
data\raw\gary_stafford\real\gs_00178.wav,gary_stafford,real,7.07,44100,2,False
data\raw\gary_stafford\real\gs_00179.wav,gary_stafford,real,4.237981859410431,44100,2,False
data\raw\gary_stafford\real\gs_00180.wav,gary_stafford,real,5.398004535147392,44100,2,False
data\raw\gary_stafford\real\gs_00181.wav,gary_stafford,real,3.5310204081632652,44100,2,False
data\raw\gary_stafford\real\gs_00182.wav,gary_stafford,real,6.321995464852607,44100,2,False
data\raw\gary_stafford\real\gs_00183.wav,gary_stafford,real,4.28,44100,2,False
data\raw\gary_stafford\real\gs_00184.wav,gary_stafford,real,2.8580045351473924,44100,2,False
data\raw\gary_stafford\real\gs_00185.wav,gary_stafford,real,2.848004535147392,44100,2,False
data\raw\gary_stafford\real\gs_00186.wav,gary_stafford,real,3.1360090702947847,44100,2,False
data\raw\gary_stafford\real\gs_00187.wav,gary_stafford,real,2.7870068027210886,44100,2,False
data\raw\gary_stafford\real\gs_00188.wav,gary_stafford,real,3.514988662131519,44100,2,False
data\raw\gary_stafford\real\gs_00189.wav,gary_stafford,real,3.6260090702947845,44100,2,False
data\raw\gary_stafford\real\gs_00190.wav,gary_stafford,real,3.611995464852608,44100,2,False
data\raw\gary_stafford\real\gs_00191.wav,gary_stafford,real,2.8839909297052153,44100,2,False
data\raw\gary_stafford\real\gs_00192.wav,gary_stafford,real,5.402018140589569,44100,2,False
data\raw\gary_stafford\real\gs_00193.wav,gary_stafford,real,4.047006802721088,44100,2,False
data\raw\gary_stafford\real\gs_00194.wav,gary_stafford,real,2.650997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00195.wav,gary_stafford,real,4.143015873015873,44100,2,False
data\raw\gary_stafford\real\gs_00196.wav,gary_stafford,real,3.750997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00197.wav,gary_stafford,real,2.8909977324263036,44100,2,False
data\raw\gary_stafford\real\gs_00198.wav,gary_stafford,real,6.82498866213152,44100,2,False
data\raw\gary_stafford\real\gs_00199.wav,gary_stafford,real,6.826009070294784,44100,2,False
data\raw\gary_stafford\real\gs_00200.wav,gary_stafford,real,6.82498866213152,44100,2,False
data\raw\gary_stafford\real\gs_00201.wav,gary_stafford,real,6.825986394557823,44100,2,False
data\raw\gary_stafford\real\gs_00202.wav,gary_stafford,real,7.1039909297052155,44100,2,False
data\raw\gary_stafford\real\gs_00203.wav,gary_stafford,real,7.105011337868481,44100,2,False
data\raw\gary_stafford\real\gs_00204.wav,gary_stafford,real,7.1039909297052155,44100,2,False
data\raw\gary_stafford\real\gs_00205.wav,gary_stafford,real,7.104988662131519,44100,2,False
data\raw\gary_stafford\real\gs_00206.wav,gary_stafford,real,7.1040136054421765,44100,2,False
data\raw\gary_stafford\real\gs_00207.wav,gary_stafford,real,7.104988662131519,44100,2,False
data\raw\gary_stafford\real\gs_00208.wav,gary_stafford,real,7.105011337868481,44100,2,False
data\raw\gary_stafford\real\gs_00209.wav,gary_stafford,real,7.104988662131519,44100,2,False
data\raw\gary_stafford\real\gs_00210.wav,gary_stafford,real,7.1040136054421765,44100,2,False
data\raw\gary_stafford\real\gs_00211.wav,gary_stafford,real,7.105011337868481,44100,2,False
data\raw\gary_stafford\real\gs_00212.wav,gary_stafford,real,7.104988662131519,44100,2,False
data\raw\gary_stafford\real\gs_00213.wav,gary_stafford,real,6.8,44100,2,False
data\raw\gary_stafford\real\gs_00214.wav,gary_stafford,real,6.94,44100,2,False
data\raw\gary_stafford\real\gs_00215.wav,gary_stafford,real,6.940997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00216.wav,gary_stafford,real,6.940997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00217.wav,gary_stafford,real,6.940997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00218.wav,gary_stafford,real,6.940997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00219.wav,gary_stafford,real,6.940997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00220.wav,gary_stafford,real,6.940997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00221.wav,gary_stafford,real,6.940997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00222.wav,gary_stafford,real,6.940997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00223.wav,gary_stafford,real,6.29,44100,2,False
data\raw\gary_stafford\real\gs_00224.wav,gary_stafford,real,6.290997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00225.wav,gary_stafford,real,6.290997732426304,44100,2,False
data\raw\gary_stafford\real\gs_00226.wav,gary_stafford,real,6.588979591836734,44100,2,False
data\raw\gary_stafford\real\gs_00227.wav,gary_stafford,real,6.589002267573696,44100,2,False
data\raw\gary_stafford\real\gs_00228.wav,gary_stafford,real,6.589002267573696,44100,2,False
data\raw\gary_stafford\real\gs_00229.wav,gary_stafford,real,9.518979591836734,44100,2,False
data\raw\gary_stafford\real\gs_00230.wav,gary_stafford,real,8.429002267573695,44100,2,False
data\raw\gary_stafford\real\gs_00231.wav,gary_stafford,real,2.9529931972789116,44100,2,False
data\raw\gary_stafford\real\gs_00232.wav,gary_stafford,real,5.013990929705216,44100,2,False
