original_file,resampled_path,original_sample_rate,target_sample_rate,duration_sec
data\raw\gary_stafford\real\gs_00028.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00028.wav,16000,16000,3.5270625
data\raw\gary_stafford\real\gs_00029.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00029.wav,16000,16000,2.856
data\raw\gary_stafford\real\gs_00030.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00030.wav,16000,16000,2.9070625
data\raw\gary_stafford\real\gs_00031.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00031.wav,16000,16000,5.9520625
data\raw\gary_stafford\real\gs_00032.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00032.wav,16000,16000,3.454
data\raw\gary_stafford\real\gs_00033.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00033.wav,16000,16000,4.383
data\raw\gary_stafford\real\gs_00034.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00034.wav,16000,16000,3.2850625
data\raw\gary_stafford\real\gs_00035.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00035.wav,16000,16000,4.891
data\raw\gary_stafford\real\gs_00036.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00036.wav,16000,16000,3.325
data\raw\gary_stafford\real\gs_00037.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00037.wav,16000,16000,3.0970625
data\raw\gary_stafford\real\gs_00038.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00038.wav,16000,16000,6.1370625
data\raw\gary_stafford\real\gs_00039.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00039.wav,16000,16000,3.0870625
data\raw\gary_stafford\real\gs_00040.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00040.wav,16000,16000,6.431
data\raw\gary_stafford\real\gs_00041.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00041.wav,16000,16000,5.052
data\raw\gary_stafford\real\gs_00042.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00042.wav,16000,16000,3.372
data\raw\gary_stafford\real\gs_00043.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00043.wav,16000,16000,6.4330625
data\raw\gary_stafford\real\gs_00044.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00044.wav,16000,16000,3.157
data\raw\gary_stafford\real\gs_00045.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00045.wav,16000,16000,4.743
data\raw\gary_stafford\real\gs_00046.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00046.wav,16000,16000,4.222
data\raw\gary_stafford\real\gs_00047.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00047.wav,16000,16000,4.1480625
data\raw\gary_stafford\real\gs_00048.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00048.wav,16000,16000,3.9170625
data\raw\gary_stafford\real\gs_00049.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00049.wav,16000,16000,4.34
data\raw\gary_stafford\real\gs_00050.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00050.wav,16000,16000,3.932
data\raw\gary_stafford\real\gs_00051.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00051.wav,16000,16000,3.955
data\raw\gary_stafford\real\gs_00052.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00052.wav,16000,16000,3.5570625
data\raw\gary_stafford\real\gs_00053.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00053.wav,16000,16000,2.982
data\raw\gary_stafford\real\gs_00054.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00054.wav,16000,16000,3.692
data\raw\gary_stafford\real\gs_00055.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00055.wav,16000,16000,5.383
data\raw\gary_stafford\real\gs_00056.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00056.wav,16000,16000,3.5090625
data\raw\gary_stafford\real\gs_00057.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00057.wav,16000,16000,4.517
data\raw\gary_stafford\real\gs_00058.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00058.wav,16000,16000,3.145
data\raw\gary_stafford\real\gs_00059.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00059.wav,16000,16000,11.185
data\raw\gary_stafford\real\gs_00060.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00060.wav,16000,16000,2.632
data\raw\gary_stafford\real\gs_00061.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00061.wav,16000,16000,2.7340625
data\raw\gary_stafford\real\gs_00062.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00062.wav,16000,16000,3.978
data\raw\gary_stafford\real\gs_00063.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00063.wav,16000,16000,2.792
data\raw\gary_stafford\real\gs_00064.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00064.wav,16000,16000,2.774
data\raw\gary_stafford\real\gs_00065.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00065.wav,16000,16000,3.977
data\raw\gary_stafford\real\gs_00066.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00066.wav,16000,16000,2.744
data\raw\gary_stafford\real\gs_00067.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00067.wav,16000,16000,2.74
data\raw\gary_stafford\real\gs_00068.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00068.wav,16000,16000,4.0470625
data\raw\gary_stafford\real\gs_00069.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00069.wav,16000,16000,3.0570625
data\raw\gary_stafford\real\gs_00070.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00070.wav,16000,16000,2.547
data\raw\gary_stafford\real\gs_00071.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00071.wav,16000,16000,3.514
data\raw\gary_stafford\real\gs_00072.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00072.wav,16000,16000,4.95
data\raw\gary_stafford\real\gs_00073.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00073.wav,16000,16000,2.71
data\raw\gary_stafford\real\gs_00074.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00074.wav,16000,16000,3.085
data\raw\gary_stafford\real\gs_00075.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00075.wav,16000,16000,5.4650625
data\raw\gary_stafford\real\gs_00076.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00076.wav,16000,16000,2.797
data\raw\gary_stafford\real\gs_00077.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00077.wav,16000,16000,3.1460625
data\raw\gary_stafford\real\gs_00078.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00078.wav,16000,16000,4.1130625
data\raw\gary_stafford\real\gs_00079.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00079.wav,16000,16000,5.0080625
data\raw\gary_stafford\real\gs_00080.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00080.wav,16000,16000,4.455
data\raw\gary_stafford\real\gs_00081.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00081.wav,16000,16000,3.3720625
data\raw\gary_stafford\real\gs_00082.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00082.wav,16000,16000,3.234
data\raw\gary_stafford\real\gs_00083.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00083.wav,16000,16000,6.4590625
data\raw\gary_stafford\real\gs_00084.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00084.wav,16000,16000,12.132
data\raw\gary_stafford\real\gs_00085.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00085.wav,16000,16000,5.5940625
data\raw\gary_stafford\real\gs_00086.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00086.wav,16000,16000,3.1370625
data\raw\gary_stafford\real\gs_00087.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00087.wav,16000,16000,4.691
data\raw\gary_stafford\real\gs_00088.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00088.wav,16000,16000,7.3440625
data\raw\gary_stafford\real\gs_00089.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00089.wav,16000,16000,3.931
data\raw\gary_stafford\real\gs_00090.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00090.wav,16000,16000,2.6670625
data\raw\gary_stafford\real\gs_00091.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00091.wav,16000,16000,2.9270625
data\raw\gary_stafford\real\gs_00092.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00092.wav,16000,16000,2.711
data\raw\gary_stafford\real\gs_00093.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00093.wav,16000,16000,5.8590625
data\raw\gary_stafford\real\gs_00094.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00094.wav,16000,16000,3.8160625
data\raw\gary_stafford\real\gs_00095.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00095.wav,16000,16000,6.95
data\raw\gary_stafford\real\gs_00096.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00096.wav,16000,16000,5.312
data\raw\gary_stafford\real\gs_00097.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00097.wav,16000,16000,3.58
data\raw\gary_stafford\real\gs_00098.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00098.wav,16000,16000,3.852
data\raw\gary_stafford\real\gs_00099.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00099.wav,16000,16000,3.6880625
data\raw\gary_stafford\real\gs_00100.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00100.wav,16000,16000,11.784
data\raw\gary_stafford\real\gs_00101.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00101.wav,16000,16000,9.1
data\raw\gary_stafford\real\gs_00102.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00102.wav,16000,16000,3.3050625
data\raw\gary_stafford\real\gs_00103.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00103.wav,16000,16000,4.3790625
data\raw\gary_stafford\real\gs_00104.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00104.wav,16000,16000,5.0020625
data\raw\gary_stafford\real\gs_00105.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00105.wav,16000,16000,5.9690625
data\raw\gary_stafford\real\gs_00106.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00106.wav,16000,16000,3.3580625
data\raw\gary_stafford\real\gs_00107.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00107.wav,16000,16000,3.5270625
data\raw\gary_stafford\real\gs_00108.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00108.wav,16000,16000,2.841
data\raw\gary_stafford\real\gs_00109.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00109.wav,16000,16000,2.921
data\raw\gary_stafford\real\gs_00110.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00110.wav,16000,16000,4.156
data\raw\gary_stafford\real\gs_00111.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00111.wav,16000,16000,7.567
data\raw\gary_stafford\real\gs_00112.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00112.wav,16000,16000,2.56
data\raw\gary_stafford\real\gs_00113.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00113.wav,16000,16000,3.1220625
data\raw\gary_stafford\real\gs_00114.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00114.wav,16000,16000,7.239
data\raw\gary_stafford\real\gs_00115.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00115.wav,16000,16000,9.1740625
data\raw\gary_stafford\real\gs_00116.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00116.wav,16000,16000,4.9750625
data\raw\gary_stafford\real\gs_00117.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00117.wav,16000,16000,3.7580625
data\raw\gary_stafford\real\gs_00118.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00118.wav,16000,16000,2.753
data\raw\gary_stafford\real\gs_00119.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00119.wav,16000,16000,4.239
data\raw\gary_stafford\real\gs_00120.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00120.wav,16000,16000,6.222
data\raw\gary_stafford\real\gs_00121.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00121.wav,16000,16000,4.732
data\raw\gary_stafford\real\gs_00122.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00122.wav,16000,16000,8.5290625
data\raw\gary_stafford\real\gs_00123.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00123.wav,16000,16000,3.436
data\raw\gary_stafford\real\gs_00124.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00124.wav,16000,16000,4.161
data\raw\gary_stafford\real\gs_00125.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00125.wav,16000,16000,2.5630625
data\raw\gary_stafford\real\gs_00126.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00126.wav,16000,16000,3.5460625
data\raw\gary_stafford\real\gs_00127.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00127.wav,16000,16000,2.871
data\raw\gary_stafford\real\gs_00128.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00128.wav,16000,16000,2.613
data\raw\gary_stafford\real\gs_00129.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00129.wav,16000,16000,5.823
data\raw\gary_stafford\real\gs_00130.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00130.wav,16000,16000,4.4460625
data\raw\gary_stafford\real\gs_00131.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00131.wav,16000,16000,3.1760625
data\raw\gary_stafford\real\gs_00132.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00132.wav,16000,16000,3.7580625
data\raw\gary_stafford\real\gs_00133.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00133.wav,16000,16000,3.813
data\raw\gary_stafford\real\gs_00134.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00134.wav,16000,16000,3.8090625
data\raw\gary_stafford\real\gs_00135.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00135.wav,16000,16000,3.008
data\raw\gary_stafford\real\gs_00136.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00136.wav,16000,16000,3.237
data\raw\gary_stafford\real\gs_00137.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00137.wav,16000,16000,4.93
data\raw\gary_stafford\real\gs_00138.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00138.wav,16000,16000,2.7650625
data\raw\gary_stafford\real\gs_00139.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00139.wav,16000,16000,2.7490625
data\raw\gary_stafford\real\gs_00140.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00140.wav,16000,16000,3.11
data\raw\gary_stafford\real\gs_00141.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00141.wav,16000,16000,2.6180625
data\raw\gary_stafford\real\gs_00142.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00142.wav,16000,16000,3.002
data\raw\gary_stafford\real\gs_00143.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00143.wav,16000,16000,3.5570625
data\raw\gary_stafford\real\gs_00144.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00144.wav,16000,16000,3.2660625
data\raw\gary_stafford\real\gs_00145.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00145.wav,16000,16000,2.7570625
data\raw\gary_stafford\real\gs_00146.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00146.wav,16000,16000,6.331
data\raw\gary_stafford\real\gs_00147.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00147.wav,16000,16000,3.8510625
data\raw\gary_stafford\real\gs_00148.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00148.wav,16000,16000,2.964
data\raw\gary_stafford\real\gs_00149.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00149.wav,16000,16000,4.025
data\raw\gary_stafford\real\gs_00150.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00150.wav,16000,16000,2.782
data\raw\gary_stafford\real\gs_00151.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00151.wav,16000,16000,4.985
data\raw\gary_stafford\real\gs_00152.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00152.wav,16000,16000,7.557
data\raw\gary_stafford\real\gs_00153.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00153.wav,16000,16000,5.9480625
data\raw\gary_stafford\real\gs_00154.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00154.wav,16000,16000,2.709
data\raw\gary_stafford\real\gs_00155.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00155.wav,16000,16000,5.292
data\raw\gary_stafford\real\gs_00156.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00156.wav,16000,16000,4.912
data\raw\gary_stafford\real\gs_00157.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00157.wav,16000,16000,3.6590625
data\raw\gary_stafford\real\gs_00158.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00158.wav,16000,16000,2.61
data\raw\gary_stafford\real\gs_00159.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00159.wav,16000,16000,6.965
data\raw\gary_stafford\real\gs_00160.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00160.wav,16000,16000,6.21
data\raw\gary_stafford\real\gs_00161.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00161.wav,16000,16000,2.825
data\raw\gary_stafford\real\gs_00162.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00162.wav,16000,16000,2.9470625
data\raw\gary_stafford\real\gs_00163.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00163.wav,16000,16000,3.052
data\raw\gary_stafford\real\gs_00164.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00164.wav,16000,16000,3.2680625
data\raw\gary_stafford\real\gs_00165.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00165.wav,16000,16000,2.91
data\raw\gary_stafford\real\gs_00166.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00166.wav,16000,16000,5.3680625
data\raw\gary_stafford\real\gs_00167.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00167.wav,16000,16000,2.8080625
data\raw\gary_stafford\real\gs_00168.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00168.wav,16000,16000,2.8540625
data\raw\gary_stafford\real\gs_00169.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00169.wav,16000,16000,8.0040625
data\raw\gary_stafford\real\gs_00170.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00170.wav,16000,16000,4.923
data\raw\gary_stafford\real\gs_00171.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00171.wav,16000,16000,6.8880625
data\raw\gary_stafford\real\gs_00172.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00172.wav,16000,16000,4.512
data\raw\gary_stafford\real\gs_00173.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00173.wav,16000,16000,3.113
data\raw\gary_stafford\real\gs_00174.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00174.wav,16000,16000,5.5330625
data\raw\gary_stafford\real\gs_00175.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00175.wav,16000,16000,8.891
data\raw\gary_stafford\real\gs_00176.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00176.wav,16000,16000,3.0340625
data\raw\gary_stafford\real\gs_00177.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00177.wav,16000,16000,2.9460625
data\raw\gary_stafford\real\gs_00178.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00178.wav,16000,16000,7.07
data\raw\gary_stafford\real\gs_00179.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00179.wav,16000,16000,4.238
data\raw\gary_stafford\real\gs_00180.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00180.wav,16000,16000,5.3980625
data\raw\gary_stafford\real\gs_00181.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00181.wav,16000,16000,3.5310625
data\raw\gary_stafford\real\gs_00182.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00182.wav,16000,16000,6.322
data\raw\gary_stafford\real\gs_00183.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00183.wav,16000,16000,4.28
data\raw\gary_stafford\real\gs_00184.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00184.wav,16000,16000,2.8580625
data\raw\gary_stafford\real\gs_00185.wav,C:\Users\Akasdip\morph\data\interim\gary_stafford_real_16k\gs_00185.wav,16000,16000,2.8480625
