uid,recorded_file,original_file,label,true_label,true_str,pred_label,pred_str,real_prob,fake_prob,confidence,duration,correct,error,architecture,language,mic,speaker,infer_time
8f4967522fa6,wav/8f4967522fa6/spoof/xtts_v1.1/es/72aec464b96d.wav,./fake/es/tts_models_multilingual_multi-dataset_xtts_v1.1/arapiles_04_perezgaldos_f000140.wav,spoof,1,FAKE,1,FAKE,4e-06,0.999996,0.999996,8.827,1,,xtts_v1.1,es,AudioTechnica AT2022,Mackie MR5,0.7919
93757a80cda6,wav/93757a80cda6/benign/en/7ac328c61b96.wav,en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_25_f000172.wav,bona-fide,0,REAL,0,REAL,0.999992,8e-06,0.999992,5.8,1,,vits,en,SteelSeries Arctis 3 2019 Headset,S2-010,0.7923
41fe2dd222e1,wav/41fe2dd222e1/benign/en/fc7ea8b7954b.wav,en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_57_f000078.wav,bona-fide,0,REAL,0,REAL,0.99996,4e-05,0.99996,8.12,1,,vits,en,AudioTechnica capacitor AT4033a,MacBook Pro 13 2017 built-in speakers,0.7477
848b3883f811,wav/848b3883f811/benign/it/e923ad873eda.wav,it_IT/by_book/male/riccardo_fasol/il_ritratto_del_diavolo/wavs/ritrattodeldiavolo_01_barrili_f000003.wav,bona-fide,0,REAL,0,REAL,0.999756,0.000244,0.999756,7.77,1,,xtts_v2,it,SteelSeries Arctis 3 2019 Headset,SteelSeries Arctis 3 2019 Headset,0.7595
2ed122bf4107,wav/2ed122bf4107/benign/es/93afc02fc0fc.wav,es_ES/by_book/male/tux/eneida/wavs/eneida_10_virgilio_f000028.wav,bona-fide,0,REAL,0,REAL,0.999921,7.9e-05,0.999921,14.06,1,,vits,es,SteelSeries Arctis 3 2019 Headset,Philips AT10/00 Speaker,0.8202
5d24e452524e,wav/5d24e452524e/benign/fr/c4fff968bb8b.wav,fr_FR/female/ezwa/monsieur_lecoq/wavs/monsieur_lecoq_2_38_f000130.wav,bona-fide,0,REAL,0,REAL,0.999952,4.8e-05,0.999952,6.71,1,,bark,fr,VideoMic Pro (+20dB),Jabra PHS002W,0.8651
b52cbe56689a,wav/b52cbe56689a/spoof/vits/es/ad723bf92b2f.wav,fake/es/tts_models_es_css10_vits/eneida_17_virgilio_f000169.wav,spoof,1,FAKE,1,FAKE,0.224363,0.775637,0.775637,10.607,1,,vits,es,MacBook Pro 13 2020 Microphone,SteelSeries Arctis 3 2019 Headset,0.7915
f2e836658a50,wav/f2e836658a50/benign/es/79f7b58032e9.wav,es_ES/by_book/male/tux/bailen/wavs/bailen_26_perezgaldos_f000048.wav,bona-fide,0,REAL,0,REAL,0.999634,0.000366,0.999634,5.49,1,,bark,es,Jabra Evolve2 40 Headset,OneOdio A70 Headphones,0.824
c39b2a0fbef0,wav/c39b2a0fbef0/benign/it/dfcdcd7bc6c1.wav,it_IT/by_book/mix/novelle_per_un_anno_12/wavs/novelle12_09_pirandello_f000112.wav,bona-fide,0,REAL,0,REAL,0.968057,0.031943,0.968057,6.99,1,,xtts_v1.1,it,Sennheiser Profile USB Microphone,Philips AT10/00 Speaker,0.779
a7e254bd9748,wav/a7e254bd9748/benign/de/92aa6eb6796f.wav,de_DE/by_book/mix/erzaehlungen_poe/wavs/erzaehlungen_22_poe_f000395.wav,bona-fide,0,REAL,0,REAL,0.999996,4e-06,0.999996,8.45,1,,xtts_v2,de,Sennheiser Profile USB Microphone,SteelSeries Arctis 3 2019 Headset,0.8562
b0601b79fdad,wav/b0601b79fdad/spoof/bark/es/1f514a5243d3.wav,fake/es/tts_models_multilingual_multi-dataset_bark/napoleonenchamartin_04_perezgaldos_f000153.wav,spoof,1,FAKE,1,FAKE,3e-06,0.999997,0.999997,8.893,1,,bark,es,Sennheiser Profile USB Microphone,Soundbar SAMSUNG HW-B750D,0.7486
f8300cda7bd4,wav/f8300cda7bd4/benign/de/9c5619c276be.wav,de_DE/by_book/female/eva_k/toten_seelen/wavs/toten_seelen_30_f000006.wav,bona-fide,0,REAL,0,REAL,0.999117,0.000883,0.999117,6.41,1,,vits,de,Jabra Evolve2 40 Headset,Creative Pebble USB,0.8446
2ed122bf4107,wav/2ed122bf4107/spoof/bark/es/6d1a5c660366.wav,fake/es/tts_models_multilingual_multi-dataset_bark/arapiles_36_perezgaldos_f000065.wav,spoof,1,FAKE,1,FAKE,0.005479,0.994521,0.994521,9.96,1,,bark,es,SteelSeries Arctis 3 2019 Headset,Philips AT10/00 Speaker,0.7759
705cd4d00798,wav/705cd4d00798/benign/de/04b006d97b0f.wav,de_DE/by_book/male/karlsson/undine/wavs/undine_13_f000041.wav,bona-fide,0,REAL,0,REAL,0.999987,1.3e-05,0.999987,13.34,1,,bark,de,ThinkPad P14s Gen2,LAYEN i-SYNC,0.7843
8ae17faac9a0,wav/8ae17faac9a0/benign/pl/ce53b1ad38f1.wav,pl_PL/by_book/male/piotr_nater/lalka/wavs/lalka_1_11_f000076.wav,bona-fide,0,REAL,1,FAKE,3.8e-05,0.999962,0.999962,7.96,0,,xtts_v2,pl,IPhone 13 Pro Max,SteelSeries Arctis 3 2019 Headset,0.7545
f8d8b766284b,wav/f8d8b766284b/spoof/xtts_v2/de/83c9d9e21883.wav,fake/de/tts_models_multilingual_multi-dataset_xtts_v2/zweiplaneten_02_lasswitz_f000260.wav,spoof,1,FAKE,0,REAL,0.781633,0.218367,0.781633,7.205,0,,xtts_v2,de,AudioTechnica AT2022,MacBook Pro 13 2017 built-in speakers,0.8135
6a7712aa6d4a,wav/6a7712aa6d4a/benign/pl/68ddf2a08a6b.wav,pl_PL/by_book/female/nina_brown/saragossie/wavs/saragossie_56_f000159.wav,bona-fide,0,REAL,0,REAL,0.999923,7.7e-05,0.999923,9.23,1,,xtts_v1.1,pl,UM10 USB,Dell Zylux Multimediasystem,0.8035
2d2491ed5756,wav/2d2491ed5756/benign/de/e7860772e6e6.wav,de_DE/by_book/female/angela_merkel/merkel_alone/wavs/Kanzlerin_01_16_f000064.wav,bona-fide,0,REAL,1,FAKE,0.000116,0.999884,0.999884,13.042,0,,xtts_v1.1,de,Jabra Evolve2 40 Headset,Sigma SP300,0.7676
f8300cda7bd4,wav/f8300cda7bd4/spoof/bark/es/a956da5a9741.wav,fake/es/tts_models_multilingual_multi-dataset_bark/quijote_vol1_15a_cervantes_f000091.wav,spoof,1,FAKE,0,REAL,1.0,0.0,1.0,14.507,0,,bark,es,Jabra Evolve2 40 Headset,Creative Pebble USB,0.8015
a39dd3113fee,wav/a39dd3113fee/spoof/bark/it/9e5da6bf8123.wav,fake/it/tts_models_multilingual_multi-dataset_bark/imalavoglia_03_verga_f000018.wav,spoof,1,FAKE,0,REAL,0.999999,1e-06,0.999999,15.107,0,,bark,it,IRig Mic Lav,Sigma SP300,0.8137
93757a80cda6,wav/93757a80cda6/spoof/bark/it/e09c8916a601.wav,fake/it/tts_models_multilingual_multi-dataset_bark/novelle11_16_pirandello_f000169.wav,spoof,1,FAKE,1,FAKE,8.9e-05,0.999911,0.999911,10.287,1,,bark,it,SteelSeries Arctis 3 2019 Headset,S2-010,0.8051
41e4a426e23d,wav/41e4a426e23d/benign/en/9cc1405de0be.wav,en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_17_f000151.wav,bona-fide,0,REAL,0,REAL,0.858678,0.141322,0.858678,9.68,1,,xtts_v1.1,en,Logitech Brio Ultra HD Webcam,Sigma SP300,0.8361
8ae17faac9a0,wav/8ae17faac9a0/spoof/bark/pl/7d592b67ed41.wav,fake/pl/tts_models_multilingual_multi-dataset_bark/lalka_1_16_f000087.wav,spoof,1,FAKE,1,FAKE,0.058747,0.941253,0.941253,6.573,1,,bark,pl,IPhone 13 Pro Max,SteelSeries Arctis 3 2019 Headset,0.8098
a39dd3113fee,wav/a39dd3113fee/benign/de/0bdc9985bad7.wav,de_DE/by_book/female/ramona_deininger/weihnachtsabend/wavs/weihnachtsabend_06_f000211.wav,bona-fide,0,REAL,0,REAL,0.930466,0.069534,0.930466,8.11,1,,vits,de,IRig Mic Lav,Sigma SP300,0.7505
51cdbb7946a7,wav/51cdbb7946a7/spoof/bark/fr/7a50fbdc2a2f.wav,fake/fr/tts_models_multilingual_multi-dataset_bark/keraban_le_tetu_1_05_f000131.wav,spoof,1,FAKE,0,REAL,0.999973,2.7e-05,0.999973,14.467,0,,bark,fr,MacBook Pro 13 2020 Microphone,Philips AT10/00 Speaker,0.8811
d8a68b2cda2b,wav/d8a68b2cda2b/spoof/xtts_v1.1/pl/5169d55db524.wav,fake/pl/tts_models_multilingual_multi-dataset_xtts_v1.1/lalka_2_15_f000003.wav,spoof,1,FAKE,0,REAL,0.992158,0.007842,0.992158,12.731,0,,xtts_v1.1,pl,Yeti USB,JBL Flip 4,0.7863
705cd4d00798,wav/705cd4d00798/spoof/vits/pl/ae4eecd81a2f.wav,fake/pl/tts_models_pl_mai_female_vits/lalka_2_10_f000083.wav,spoof,1,FAKE,0,REAL,0.998922,0.001078,0.998922,5.556,0,,vits,pl,ThinkPad P14s Gen2,LAYEN i-SYNC,0.7964
eb22ed7f96af,wav/eb22ed7f96af/spoof/xtts_v1.1/pl/6245e170e3d3.wav,fake/pl/tts_models_multilingual_multi-dataset_xtts_v1.1/saragossie_21_f000010.wav,spoof,1,FAKE,1,FAKE,9e-06,0.999991,0.999991,7.12,1,,xtts_v1.1,pl,Creative Pebble USB,Yeti USB,0.7839
dfebbf7d7f86,wav/dfebbf7d7f86/spoof/vits/en/a583ac4b93fa.wav,fake/en/tts_models_en_ljspeech_vits/northandsouth_05_f000026.wav,spoof,1,FAKE,1,FAKE,0.001273,0.998727,0.998727,12.582,1,,vits,en,Thinkpad T470s Built-in Mic,JBL Flip 4,0.7978
b0601b79fdad,wav/b0601b79fdad/benign/pl/4728083b7609.wav,pl_PL/by_book/male/piotr_nater/lalka/wavs/lalka_2_11_f000089.wav,bona-fide,0,REAL,1,FAKE,3.3e-05,0.999967,0.999967,9.63,0,,vits,pl,Sennheiser Profile USB Microphone,Soundbar SAMSUNG HW-B750D,0.8949
fc657248a15f,wav/fc657248a15f/spoof/vits/en/51a78c7fe05f.wav,fake/en/tts_models_en_ljspeech_vits/northandsouth_46_f000207.wav,spoof,1,FAKE,1,FAKE,1.3e-05,0.999987,0.999987,8.842,1,,vits,en,Jabro Evolve2 40 Headset,Logitech Z323,0.822
9ad81aac9ca6,wav/9ad81aac9ca6/spoof/vits/fr/9d51cf490b81.wav,fake/fr/tts_models_fr_css10_vits/monsieur_lecoq_2_30_f000005.wav,spoof,1,FAKE,0,REAL,0.85918,0.14082,0.85918,9.238,0,,vits,fr,Logitech Brio Ultra HD Webcam,Bose Mini II SE Soundlink,0.813
f2e836658a50,wav/f2e836658a50/spoof/bark/en/33be26298d7f.wav,fake/en/tts_models_multilingual_multi-dataset_bark/the_master_key_05_f000108.wav,spoof,1,FAKE,1,FAKE,3e-06,0.999997,0.999997,8.32,1,,bark,en,Jabra Evolve2 40 Headset,OneOdio A70 Headphones,0.846
965c6c8e062e,wav/965c6c8e062e/benign/pl/c2ffbaab7c63.wav,pl_PL/by_book/female/nina_brown/saragossie/wavs/saragossie_68_f000005.wav,bona-fide,0,REAL,0,REAL,0.994432,0.005568,0.994432,7.05,1,,xtts_v1.1,pl,SteelSeries Arctis 3 2019 Headset,iiyama ProLite XUB2792QSN,0.8528
dd09de2a982e,wav/dd09de2a982e/benign/it/6355d2f04545.wav,it_IT/by_book/mix/novelle_per_un_anno_05/wavs/novelle05_13_pirandello_f000086.wav,bona-fide,0,REAL,0,REAL,0.931874,0.068126,0.931874,5.26,1,,vits,it,T14s,T14s,0.7936
f01cb40c918e,wav/f01cb40c918e/benign/en/7139daa5eef0.wav,en_US/by_book/female/judy_bieber/emerald_city_of_oz/wavs/emerald_city_of_oz_22_f000060.wav,bona-fide,0,REAL,0,REAL,0.999982,1.8e-05,0.999982,11.63,1,,bark,en,VideoMic Pro (+20dB),Logitech Z323,0.8276
b52cbe56689a,wav/b52cbe56689a/benign/pl/6dd474941fdb.wav,pl_PL/by_book/male/piotr_nater/lalka/wavs/lalka_1_23_f000128.wav,bona-fide,0,REAL,1,FAKE,0.153816,0.846184,0.846184,7.968,0,,bark,pl,MacBook Pro 13 2020 Microphone,SteelSeries Arctis 3 2019 Headset,0.7737
0afe9a9f46a3,wav/0afe9a9f46a3/benign/it/8f71d38118cb.wav,it_IT/by_book/mix/novelle_per_un_anno_03/wavs/novelle03_10_pirandello_f000044.wav,bona-fide,0,REAL,0,REAL,0.999762,0.000238,0.999762,9.85,1,,xtts_v2,it,Sennheiser Momentum 2 mic,Built-in speaker MacBook Air 2011,0.7584
4ac5210c9a3c,wav/4ac5210c9a3c/spoof/xtts_v2/it/89b9c0634420.wav,fake/it/tts_models_multilingual_multi-dataset_xtts_v2/mattiapascal_01_pirandello_f000001.wav,spoof,1,FAKE,1,FAKE,0.015832,0.984168,0.984168,7.12,1,,xtts_v2,it,Beats Flex,MacBook Pro 13 2020 Speaker,1.0579
4ac5210c9a3c,wav/4ac5210c9a3c/benign/it/728cd8a94213.wav,it_IT/by_book/female/lisa_caputo/malavoglia/wavs/imalavoglia_07_verga_f000248.wav,bona-fide,0,REAL,0,REAL,0.999763,0.000237,0.999763,6.017,1,,bark,it,Beats Flex,MacBook Pro 13 2020 Speaker,0.8199
7a138d4031ea,wav/7a138d4031ea/benign/fr/f8249b8015f6.wav,fr_FR/female/ezwa/monsieur_lecoq/wavs/monsieur_lecoq_2_54_f000181.wav,bona-fide,0,REAL,0,REAL,0.973342,0.026658,0.973342,6.38,1,,xtts_v1.1,fr,Logitech Brio Ultra HD Webcam,Logitech Z323,0.8334
8f4967522fa6,wav/8f4967522fa6/benign/en/c7cb3d6cc947.wav,en_US/by_book/male/elliot_miller/poisoned_pen/wavs/poisoned_pen_11_f000359.wav,bona-fide,0,REAL,1,FAKE,0.215156,0.784844,0.784844,10.62,0,,bark,en,AudioTechnica AT2022,Mackie MR5,0.7607
30309830f00c,wav/30309830f00c/spoof/bark/fr/5cf5ac3a72ea.wav,fake/fr/tts_models_multilingual_multi-dataset_bark/l_ile_mysterieuse_1_21_f000019.wav,spoof,1,FAKE,1,FAKE,0.184504,0.815496,0.815496,12.0,1,,bark,fr,T14s,Dell Monitor U4025QW built in speakers,0.7534
af0354735d52,wav/af0354735d52/benign/it/32c58a3db262.wav,it_IT/by_book/mix/novelle_per_un_anno_04/wavs/novelle04_11_pirandello_f000199.wav,bona-fide,0,REAL,0,REAL,0.999972,2.8e-05,0.999972,9.464,1,,xtts_v1.1,it,IRig Mic Lav,Dell Zylux Multimediasystem,0.8527
9d3f9364c5f4,wav/9d3f9364c5f4/spoof/xtts_v2/it/1a6ea29e5c6b.wav,fake/it/tts_models_multilingual_multi-dataset_xtts_v2/novelle09_05_pirandello_f000088.wav,spoof,1,FAKE,1,FAKE,1.2e-05,0.999988,0.999988,7.717,1,,xtts_v2,it,IRig Mic Lav,Jabra PHS002W,0.7897
965c6c8e062e,wav/965c6c8e062e/spoof/xtts_v1.1/it/e5eae7ed7815.wav,fake/it/tts_models_multilingual_multi-dataset_xtts_v1.1/novelle06_15_pirandello_f000004.wav,spoof,1,FAKE,1,FAKE,0.002055,0.997945,0.997945,10.501,1,,xtts_v1.1,it,SteelSeries Arctis 3 2019 Headset,iiyama ProLite XUB2792QSN,0.7568
2d2491ed5756,wav/2d2491ed5756/spoof/bark/en/398b6e20fdbf.wav,fake/en/tts_models_multilingual_multi-dataset_bark/pink_fairy_book_32_f000120.wav,spoof,1,FAKE,1,FAKE,0.071305,0.928695,0.928695,8.213,1,,bark,en,Jabra Evolve2 40 Headset,Sigma SP300,0.7535
0af776b43107,wav/0af776b43107/spoof/bark/en/30759ceb657b.wav,fake/en/tts_models_multilingual_multi-dataset_bark/jane_eyre_36_f000132.wav,spoof,1,FAKE,0,REAL,0.997957,0.002043,0.997957,5.907,0,,bark,en,UM10 USB,Bose Mini II SE Soundlink,0.7983
3b5ab255ffd9,wav/3b5ab255ffd9/spoof/bark/de/325be3d738b4.wav,fake/de/tts_models_multilingual_multi-dataset_bark/toten_seelen_04_f000145.wav,spoof,1,FAKE,0,REAL,0.999999,1e-06,0.999999,13.027,0,,bark,de,Jabra PHS002W,Meeting Owl Pro,0.7923
dd642a8c091a,wav/dd642a8c091a/benign/pl/9a1bf4d94b71.wav,pl_PL/by_book/female/nina_brown/saragossie/wavs/saragossie_26_f000082.wav,bona-fide,0,REAL,0,REAL,0.998619,0.001381,0.998619,8.8,1,,bark,pl,Jabra Evolve2 40 Headset,Jabra Evolve2 40 Headset,0.7994
7a138d4031ea,wav/7a138d4031ea/spoof/bark/pl/ca3b5616beb4.wav,fake/pl/tts_models_multilingual_multi-dataset_bark/lalka_1_16_f000109.wav,spoof,1,FAKE,1,FAKE,1.9e-05,0.999981,0.999981,5.977,1,,bark,pl,Logitech Brio Ultra HD Webcam,Logitech Z323,0.797
e9f8427e4653,wav/e9f8427e4653/spoof/vits/it/51ebb0ebc453.wav,fake/it/tts_models_it_mai_male_vits/novelle12_12_pirandello_f000369.wav,spoof,1,FAKE,1,FAKE,0.004886,0.995114,0.995114,7.243,1,,vits,it,ThinkPad P14s Gen2,ThinkPad P14s Gen2,0.7822
2a16eaf2ea3d,wav/2a16eaf2ea3d/benign/fr/82de2e91810d.wav,fr_FR/female/nadine_eckert_boulet/madame_bovary/wavs/madame_bovary_3_07_f000060.wav,bona-fide,0,REAL,1,FAKE,0.153504,0.846496,0.846496,8.5,0,,vits,fr,Sony SRS-BTS500 Bluetooth mic,Built-in speaker MacBook Air 2011,0.755
e6c84a12959b,wav/e6c84a12959b/benign/pl/815a07ede378.wav,pl_PL/by_book/female/nina_brown/saragossie/wavs/saragossie_09_f000018.wav,bona-fide,0,REAL,0,REAL,0.999099,0.000901,0.999099,8.04,1,,xtts_v2,pl,Sennheiser Profile USB Microphone,iiyama ProLite XUB2792QSN,0.7646
dfebbf7d7f86,wav/dfebbf7d7f86/benign/en/eb0d779a3b22.wav,en_US/by_book/male/elliot_miller/pirates_of_ersatz/wavs/piratesofersatz_02_leinster_64kb_f000035.wav,bona-fide,0,REAL,1,FAKE,0.455001,0.544999,0.544999,13.68,0,,bark,en,Thinkpad T470s Built-in Mic,JBL Flip 4,0.7574
af0354735d52,wav/af0354735d52/spoof/bark/es/9c7285540c5d.wav,fake/es/tts_models_multilingual_multi-dataset_bark/trafalgar_01_perezgaldos_f000029.wav,spoof,1,FAKE,1,FAKE,3.7e-05,0.999963,0.999963,14.053,1,,bark,es,IRig Mic Lav,Dell Zylux Multimediasystem,0.7687
e9f8427e4653,wav/e9f8427e4653/benign/it/642312f537a4.wav,it_IT/by_book/mix/novelle_per_un_anno_13/wavs/novelle_per_un_anno_vol_13_candelora_12_pirandello_f000079.wav,bona-fide,0,REAL,0,REAL,0.999997,3e-06,0.999997,11.62,1,,xtts_v2,it,ThinkPad P14s Gen2,ThinkPad P14s Gen2,0.7753
41e4a426e23d,wav/41e4a426e23d/spoof/vits/es/33073c0a624b.wav,fake/es/tts_models_es_css10_vits/quijote_vol1_07_cervantes_f000089.wav,spoof,1,FAKE,1,FAKE,0.002972,0.997028,0.997028,6.834,1,,vits,es,Logitech Brio Ultra HD Webcam,Sigma SP300,0.8245
5716a9adc44d,wav/5716a9adc44d/benign/fr/7800ece22595.wav,fr_FR/female/nadine_eckert_boulet/les_tribulations_dun_chinoise/wavs/les_tribulations_dun_chinoise_10_f000088.wav,bona-fide,0,REAL,0,REAL,0.999936,6.4e-05,0.999936,9.43,1,,vits,fr,Jabra Evolve2 40 Headset,JBL Flip 4,0.8067
48a43214871e,wav/48a43214871e/spoof/bark/de/29afb93407d6.wav,fake/de/tts_models_multilingual_multi-dataset_bark/ferien_vom_ich_001_f000100.wav,spoof,1,FAKE,0,REAL,0.998892,0.001108,0.998892,5.587,0,,bark,de,Beats Flex,Soundbar SAMSUNG HW-B750D,0.8671
0afe9a9f46a3,wav/0afe9a9f46a3/spoof/xtts_v2/de/fa3e1c76cb3d.wav,./fake/de/tts_models_multilingual_multi-dataset_xtts_v2/zweiplaneten_40_lasswitz_f000152.wav,spoof,1,FAKE,1,FAKE,0.000207,0.999793,0.999793,8.187,1,,xtts_v2,de,Sennheiser Momentum 2 mic,Built-in speaker MacBook Air 2011,0.7951
