uid,recorded_file,original_file,label,true_label,true_str,pred_label,pred_str,real_prob,fake_prob,confidence,duration,correct,error,architecture,language,mic,speaker
d154dc243923,wav/d154dc243923/spoof/bark/pl/41b6dfcc14c9.wav,fake/pl/tts_models_multilingual_multi-dataset_bark/saragossie_25_f000014.wav,spoof,1,FAKE,0,REAL,0.808277,0.191723,0.808277,13.68,0,,bark,pl,Yeti USB,Sound Intone MS200 Headphones
b5a0a107e0e5,wav/b5a0a107e0e5/spoof/bark/de/bb3aa729f79a.wav,fake/de/tts_models_multilingual_multi-dataset_bark/mein_weg_als_deutscher_und_jude_006_f000199.wav,spoof,1,FAKE,0,REAL,0.991667,0.008333,0.991667,11.76,0,,bark,de,Yeti USB,Bose Mini II SE Soundlink
83e4ddad49d2,wav/83e4ddad49d2/spoof/bark/pl/48aae5e84500.wav,fake/pl/tts_models_multilingual_multi-dataset_bark/saragossie_54_f000092.wav,spoof,1,FAKE,1,FAKE,0.396757,0.603243,0.603243,10.213,1,,bark,pl,ThinkPad P14s Gen2,Oliver Wyman speaker (20cm)
a7e254bd9748,wav/a7e254bd9748/spoof/bark/es/7b1e2b2679fc.wav,fake/es/tts_models_multilingual_multi-dataset_bark/el19demarzoyel2demayo_25_perezgaldos_f000036.wav,spoof,1,FAKE,0,REAL,0.948936,0.051064,0.948936,8.173,0,,bark,es,Sennheiser Profile USB Microphone,SteelSeries Arctis 3 2019 Headset
6a7712aa6d4a,wav/6a7712aa6d4a/spoof/xtts_v2/it/a54fb06eef07.wav,fake/it/tts_models_multilingual_multi-dataset_xtts_v2/mattiapascal_05_pirandello_f000028.wav,spoof,1,FAKE,0,REAL,0.992084,0.007916,0.992084,10.789,0,,xtts_v2,it,UM10 USB,Dell Zylux Multimediasystem
d154dc243923,wav/d154dc243923/benign/fr/42afa3574181.wav,fr_FR/female/ezwa/monsieur_lecoq/wavs/monsieur_lecoq_2_04_f000073.wav,bona-fide,0,REAL,0,REAL,0.81163,0.18837,0.81163,7.01,1,,vits,fr,Yeti USB,Sound Intone MS200 Headphones
0af776b43107,wav/0af776b43107/benign/pl/70a550dbf9f0.wav,pl_PL/by_book/male/piotr_nater/lalka/wavs/lalka_1_12_f000081.wav,bona-fide,0,REAL,0,REAL,0.92502,0.07498,0.92502,6.249,1,,xtts_v2,pl,UM10 USB,Bose Mini II SE Soundlink
2a16eaf2ea3d,wav/2a16eaf2ea3d/spoof/vits/fr/dcfd60293c37.wav,./fake/fr/tts_models_fr_css10_vits/monsieur_lecoq_2_17_f000082.wav,spoof,1,FAKE,0,REAL,0.569008,0.430992,0.569008,9.864,0,,vits,fr,Sony SRS-BTS500 Bluetooth mic,Built-in speaker MacBook Air 2011
41fe2dd222e1,wav/41fe2dd222e1/spoof/vits/de/d9c3b2ef3018.wav,fake/de/tts_models_de_thorsten_vits/grune_haus_11_f000033.wav,spoof,1,FAKE,0,REAL,0.863305,0.136695,0.863305,7.937,0,,vits,de,AudioTechnica capacitor AT4033a,MacBook Pro 13 2017 built-in speakers
fbf472c53584,wav/fbf472c53584/benign/fr/9070237529a5.wav,fr_FR/female/nadine_eckert_boulet/les_mysteres_de_paris/wavs/les_mysteres_de_paris_4_12_f000106.wav,bona-fide,0,REAL,0,REAL,0.982273,0.017727,0.982273,10.91,1,,xtts_v1.1,fr,Jabra Evolve2 40 Headset,Dell Zylux Multimediasystem
d8a68b2cda2b,wav/d8a68b2cda2b/benign/fr/c7c8ba366cee.wav,fr_FR/female/ezwa/monsieur_lecoq/wavs/monsieur_lecoq_1_19_f000026.wav,bona-fide,0,REAL,0,REAL,0.948908,0.051092,0.948908,7.64,1,,xtts_v2,fr,Yeti USB,JBL Flip 4
8f4967522fa6,wav/8f4967522fa6/spoof/xtts_v1.1/es/72aec464b96d.wav,./fake/es/tts_models_multilingual_multi-dataset_xtts_v1.1/arapiles_04_perezgaldos_f000140.wav,spoof,1,FAKE,0,REAL,0.954375,0.045625,0.954375,8.827,0,,xtts_v1.1,es,AudioTechnica AT2022,Mackie MR5
93757a80cda6,wav/93757a80cda6/benign/en/7ac328c61b96.wav,en_US/by_book/female/mary_ann/northandsouth/wavs/northandsouth_25_f000172.wav,bona-fide,0,REAL,1,FAKE,0.453468,0.546532,0.546532,5.8,0,,vits,en,SteelSeries Arctis 3 2019 Headset,S2-010
41fe2dd222e1,wav/41fe2dd222e1/benign/en/fc7ea8b7954b.wav,en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_57_f000078.wav,bona-fide,0,REAL,0,REAL,0.94061,0.05939,0.94061,8.12,1,,vits,en,AudioTechnica capacitor AT4033a,MacBook Pro 13 2017 built-in speakers
848b3883f811,wav/848b3883f811/benign/it/e923ad873eda.wav,it_IT/by_book/male/riccardo_fasol/il_ritratto_del_diavolo/wavs/ritrattodeldiavolo_01_barrili_f000003.wav,bona-fide,0,REAL,0,REAL,0.955852,0.044148,0.955852,7.77,1,,xtts_v2,it,SteelSeries Arctis 3 2019 Headset,SteelSeries Arctis 3 2019 Headset
2ed122bf4107,wav/2ed122bf4107/benign/es/93afc02fc0fc.wav,es_ES/by_book/male/tux/eneida/wavs/eneida_10_virgilio_f000028.wav,bona-fide,0,REAL,0,REAL,0.882704,0.117296,0.882704,14.06,1,,vits,es,SteelSeries Arctis 3 2019 Headset,Philips AT10/00 Speaker
5d24e452524e,wav/5d24e452524e/benign/fr/c4fff968bb8b.wav,fr_FR/female/ezwa/monsieur_lecoq/wavs/monsieur_lecoq_2_38_f000130.wav,bona-fide,0,REAL,0,REAL,0.609377,0.390623,0.609377,6.71,1,,bark,fr,VideoMic Pro (+20dB),Jabra PHS002W
b52cbe56689a,wav/b52cbe56689a/spoof/vits/es/ad723bf92b2f.wav,fake/es/tts_models_es_css10_vits/eneida_17_virgilio_f000169.wav,spoof,1,FAKE,0,REAL,0.942624,0.057376,0.942624,10.607,0,,vits,es,MacBook Pro 13 2020 Microphone,SteelSeries Arctis 3 2019 Headset
f2e836658a50,wav/f2e836658a50/benign/es/79f7b58032e9.wav,es_ES/by_book/male/tux/bailen/wavs/bailen_26_perezgaldos_f000048.wav,bona-fide,0,REAL,0,REAL,0.864225,0.135775,0.864225,5.49,1,,bark,es,Jabra Evolve2 40 Headset,OneOdio A70 Headphones
c39b2a0fbef0,wav/c39b2a0fbef0/benign/it/dfcdcd7bc6c1.wav,it_IT/by_book/mix/novelle_per_un_anno_12/wavs/novelle12_09_pirandello_f000112.wav,bona-fide,0,REAL,0,REAL,0.991884,0.008117,0.991884,6.99,1,,xtts_v1.1,it,Sennheiser Profile USB Microphone,Philips AT10/00 Speaker
a7e254bd9748,wav/a7e254bd9748/benign/de/92aa6eb6796f.wav,de_DE/by_book/mix/erzaehlungen_poe/wavs/erzaehlungen_22_poe_f000395.wav,bona-fide,0,REAL,0,REAL,0.967262,0.032738,0.967262,8.45,1,,xtts_v2,de,Sennheiser Profile USB Microphone,SteelSeries Arctis 3 2019 Headset
b0601b79fdad,wav/b0601b79fdad/spoof/bark/es/1f514a5243d3.wav,fake/es/tts_models_multilingual_multi-dataset_bark/napoleonenchamartin_04_perezgaldos_f000153.wav,spoof,1,FAKE,0,REAL,0.994017,0.005983,0.994017,8.893,0,,bark,es,Sennheiser Profile USB Microphone,Soundbar SAMSUNG HW-B750D
f8300cda7bd4,wav/f8300cda7bd4/benign/de/9c5619c276be.wav,de_DE/by_book/female/eva_k/toten_seelen/wavs/toten_seelen_30_f000006.wav,bona-fide,0,REAL,0,REAL,0.547198,0.452802,0.547198,6.41,1,,vits,de,Jabra Evolve2 40 Headset,Creative Pebble USB
2ed122bf4107,wav/2ed122bf4107/spoof/bark/es/6d1a5c660366.wav,fake/es/tts_models_multilingual_multi-dataset_bark/arapiles_36_perezgaldos_f000065.wav,spoof,1,FAKE,0,REAL,0.977068,0.022932,0.977068,9.96,0,,bark,es,SteelSeries Arctis 3 2019 Headset,Philips AT10/00 Speaker
705cd4d00798,wav/705cd4d00798/benign/de/04b006d97b0f.wav,de_DE/by_book/male/karlsson/undine/wavs/undine_13_f000041.wav,bona-fide,0,REAL,0,REAL,0.981386,0.018614,0.981386,13.34,1,,bark,de,ThinkPad P14s Gen2,LAYEN i-SYNC
8ae17faac9a0,wav/8ae17faac9a0/benign/pl/ce53b1ad38f1.wav,pl_PL/by_book/male/piotr_nater/lalka/wavs/lalka_1_11_f000076.wav,bona-fide,0,REAL,0,REAL,0.985883,0.014117,0.985883,7.96,1,,xtts_v2,pl,IPhone 13 Pro Max,SteelSeries Arctis 3 2019 Headset
f8d8b766284b,wav/f8d8b766284b/spoof/xtts_v2/de/83c9d9e21883.wav,fake/de/tts_models_multilingual_multi-dataset_xtts_v2/zweiplaneten_02_lasswitz_f000260.wav,spoof,1,FAKE,1,FAKE,0.035197,0.964803,0.964803,7.205,1,,xtts_v2,de,AudioTechnica AT2022,MacBook Pro 13 2017 built-in speakers
6a7712aa6d4a,wav/6a7712aa6d4a/benign/pl/68ddf2a08a6b.wav,pl_PL/by_book/female/nina_brown/saragossie/wavs/saragossie_56_f000159.wav,bona-fide,0,REAL,0,REAL,0.996015,0.003985,0.996015,9.23,1,,xtts_v1.1,pl,UM10 USB,Dell Zylux Multimediasystem
2d2491ed5756,wav/2d2491ed5756/benign/de/e7860772e6e6.wav,de_DE/by_book/female/angela_merkel/merkel_alone/wavs/Kanzlerin_01_16_f000064.wav,bona-fide,0,REAL,0,REAL,0.999231,0.000769,0.999231,13.042,1,,xtts_v1.1,de,Jabra Evolve2 40 Headset,Sigma SP300
f8300cda7bd4,wav/f8300cda7bd4/spoof/bark/es/a956da5a9741.wav,fake/es/tts_models_multilingual_multi-dataset_bark/quijote_vol1_15a_cervantes_f000091.wav,spoof,1,FAKE,0,REAL,0.864492,0.135508,0.864492,14.507,0,,bark,es,Jabra Evolve2 40 Headset,Creative Pebble USB
a39dd3113fee,wav/a39dd3113fee/spoof/bark/it/9e5da6bf8123.wav,fake/it/tts_models_multilingual_multi-dataset_bark/imalavoglia_03_verga_f000018.wav,spoof,1,FAKE,0,REAL,0.876035,0.123965,0.876035,15.107,0,,bark,it,IRig Mic Lav,Sigma SP300
93757a80cda6,wav/93757a80cda6/spoof/bark/it/e09c8916a601.wav,fake/it/tts_models_multilingual_multi-dataset_bark/novelle11_16_pirandello_f000169.wav,spoof,1,FAKE,0,REAL,0.827431,0.172569,0.827431,10.287,0,,bark,it,SteelSeries Arctis 3 2019 Headset,S2-010
41e4a426e23d,wav/41e4a426e23d/benign/en/9cc1405de0be.wav,en_UK/by_book/female/elizabeth_klett/jane_eyre/wavs/jane_eyre_17_f000151.wav,bona-fide,0,REAL,0,REAL,0.897668,0.102332,0.897668,9.68,1,,xtts_v1.1,en,Logitech Brio Ultra HD Webcam,Sigma SP300
8ae17faac9a0,wav/8ae17faac9a0/spoof/bark/pl/7d592b67ed41.wav,fake/pl/tts_models_multilingual_multi-dataset_bark/lalka_1_16_f000087.wav,spoof,1,FAKE,0,REAL,0.807971,0.192029,0.807971,6.573,0,,bark,pl,IPhone 13 Pro Max,SteelSeries Arctis 3 2019 Headset
a39dd3113fee,wav/a39dd3113fee/benign/de/0bdc9985bad7.wav,de_DE/by_book/female/ramona_deininger/weihnachtsabend/wavs/weihnachtsabend_06_f000211.wav,bona-fide,0,REAL,0,REAL,0.98074,0.01926,0.98074,8.11,1,,vits,de,IRig Mic Lav,Sigma SP300
51cdbb7946a7,wav/51cdbb7946a7/spoof/bark/fr/7a50fbdc2a2f.wav,fake/fr/tts_models_multilingual_multi-dataset_bark/keraban_le_tetu_1_05_f000131.wav,spoof,1,FAKE,0,REAL,0.972087,0.027913,0.972087,14.467,0,,bark,fr,MacBook Pro 13 2020 Microphone,Philips AT10/00 Speaker
d8a68b2cda2b,wav/d8a68b2cda2b/spoof/xtts_v1.1/pl/5169d55db524.wav,fake/pl/tts_models_multilingual_multi-dataset_xtts_v1.1/lalka_2_15_f000003.wav,spoof,1,FAKE,0,REAL,0.974112,0.025888,0.974112,12.731,0,,xtts_v1.1,pl,Yeti USB,JBL Flip 4
705cd4d00798,wav/705cd4d00798/spoof/vits/pl/ae4eecd81a2f.wav,fake/pl/tts_models_pl_mai_female_vits/lalka_2_10_f000083.wav,spoof,1,FAKE,0,REAL,0.567488,0.432512,0.567488,5.556,0,,vits,pl,ThinkPad P14s Gen2,LAYEN i-SYNC
eb22ed7f96af,wav/eb22ed7f96af/spoof/xtts_v1.1/pl/6245e170e3d3.wav,fake/pl/tts_models_multilingual_multi-dataset_xtts_v1.1/saragossie_21_f000010.wav,spoof,1,FAKE,1,FAKE,0.39334,0.60666,0.60666,7.12,1,,xtts_v1.1,pl,Creative Pebble USB,Yeti USB
dfebbf7d7f86,wav/dfebbf7d7f86/spoof/vits/en/a583ac4b93fa.wav,fake/en/tts_models_en_ljspeech_vits/northandsouth_05_f000026.wav,spoof,1,FAKE,0,REAL,0.996116,0.003884,0.996116,12.582,0,,vits,en,Thinkpad T470s Built-in Mic,JBL Flip 4
b0601b79fdad,wav/b0601b79fdad/benign/pl/4728083b7609.wav,pl_PL/by_book/male/piotr_nater/lalka/wavs/lalka_2_11_f000089.wav,bona-fide,0,REAL,0,REAL,0.991622,0.008378,0.991622,9.63,1,,vits,pl,Sennheiser Profile USB Microphone,Soundbar SAMSUNG HW-B750D
fc657248a15f,wav/fc657248a15f/spoof/vits/en/51a78c7fe05f.wav,fake/en/tts_models_en_ljspeech_vits/northandsouth_46_f000207.wav,spoof,1,FAKE,0,REAL,0.834764,0.165237,0.834764,8.842,0,,vits,en,Jabro Evolve2 40 Headset,Logitech Z323
9ad81aac9ca6,wav/9ad81aac9ca6/spoof/vits/fr/9d51cf490b81.wav,fake/fr/tts_models_fr_css10_vits/monsieur_lecoq_2_30_f000005.wav,spoof,1,FAKE,0,REAL,0.961926,0.038074,0.961926,9.238,0,,vits,fr,Logitech Brio Ultra HD Webcam,Bose Mini II SE Soundlink
f2e836658a50,wav/f2e836658a50/spoof/bark/en/33be26298d7f.wav,fake/en/tts_models_multilingual_multi-dataset_bark/the_master_key_05_f000108.wav,spoof,1,FAKE,1,FAKE,0.056464,0.943536,0.943536,8.32,1,,bark,en,Jabra Evolve2 40 Headset,OneOdio A70 Headphones
965c6c8e062e,wav/965c6c8e062e/benign/pl/c2ffbaab7c63.wav,pl_PL/by_book/female/nina_brown/saragossie/wavs/saragossie_68_f000005.wav,bona-fide,0,REAL,0,REAL,0.568496,0.431504,0.568496,7.05,1,,xtts_v1.1,pl,SteelSeries Arctis 3 2019 Headset,iiyama ProLite XUB2792QSN
dd09de2a982e,wav/dd09de2a982e/benign/it/6355d2f04545.wav,it_IT/by_book/mix/novelle_per_un_anno_05/wavs/novelle05_13_pirandello_f000086.wav,bona-fide,0,REAL,1,FAKE,0.241859,0.758141,0.758141,5.26,0,,vits,it,T14s,T14s
f01cb40c918e,wav/f01cb40c918e/benign/en/7139daa5eef0.wav,en_US/by_book/female/judy_bieber/emerald_city_of_oz/wavs/emerald_city_of_oz_22_f000060.wav,bona-fide,0,REAL,0,REAL,0.983466,0.016534,0.983466,11.63,1,,bark,en,VideoMic Pro (+20dB),Logitech Z323
b52cbe56689a,wav/b52cbe56689a/benign/pl/6dd474941fdb.wav,pl_PL/by_book/male/piotr_nater/lalka/wavs/lalka_1_23_f000128.wav,bona-fide,0,REAL,0,REAL,0.99715,0.002849,0.99715,7.968,1,,bark,pl,MacBook Pro 13 2020 Microphone,SteelSeries Arctis 3 2019 Headset
0afe9a9f46a3,wav/0afe9a9f46a3/benign/it/8f71d38118cb.wav,it_IT/by_book/mix/novelle_per_un_anno_03/wavs/novelle03_10_pirandello_f000044.wav,bona-fide,0,REAL,0,REAL,0.584959,0.415041,0.584959,9.85,1,,xtts_v2,it,Sennheiser Momentum 2 mic,Built-in speaker MacBook Air 2011
4ac5210c9a3c,wav/4ac5210c9a3c/spoof/xtts_v2/it/89b9c0634420.wav,fake/it/tts_models_multilingual_multi-dataset_xtts_v2/mattiapascal_01_pirandello_f000001.wav,spoof,1,FAKE,1,FAKE,0.354715,0.645285,0.645285,7.12,1,,xtts_v2,it,Beats Flex,MacBook Pro 13 2020 Speaker
4ac5210c9a3c,wav/4ac5210c9a3c/benign/it/728cd8a94213.wav,it_IT/by_book/female/lisa_caputo/malavoglia/wavs/imalavoglia_07_verga_f000248.wav,bona-fide,0,REAL,1,FAKE,0.403593,0.596407,0.596407,6.017,0,,bark,it,Beats Flex,MacBook Pro 13 2020 Speaker
7a138d4031ea,wav/7a138d4031ea/benign/fr/f8249b8015f6.wav,fr_FR/female/ezwa/monsieur_lecoq/wavs/monsieur_lecoq_2_54_f000181.wav,bona-fide,0,REAL,0,REAL,0.9786,0.0214,0.9786,6.38,1,,xtts_v1.1,fr,Logitech Brio Ultra HD Webcam,Logitech Z323
8f4967522fa6,wav/8f4967522fa6/benign/en/c7cb3d6cc947.wav,en_US/by_book/male/elliot_miller/poisoned_pen/wavs/poisoned_pen_11_f000359.wav,bona-fide,0,REAL,0,REAL,0.835257,0.164743,0.835257,10.62,1,,bark,en,AudioTechnica AT2022,Mackie MR5
30309830f00c,wav/30309830f00c/spoof/bark/fr/5cf5ac3a72ea.wav,fake/fr/tts_models_multilingual_multi-dataset_bark/l_ile_mysterieuse_1_21_f000019.wav,spoof,1,FAKE,0,REAL,0.995286,0.004714,0.995286,12.0,0,,bark,fr,T14s,Dell Monitor U4025QW built in speakers
af0354735d52,wav/af0354735d52/benign/it/32c58a3db262.wav,it_IT/by_book/mix/novelle_per_un_anno_04/wavs/novelle04_11_pirandello_f000199.wav,bona-fide,0,REAL,0,REAL,0.986272,0.013728,0.986272,9.464,1,,xtts_v1.1,it,IRig Mic Lav,Dell Zylux Multimediasystem
9d3f9364c5f4,wav/9d3f9364c5f4/spoof/xtts_v2/it/1a6ea29e5c6b.wav,fake/it/tts_models_multilingual_multi-dataset_xtts_v2/novelle09_05_pirandello_f000088.wav,spoof,1,FAKE,0,REAL,0.975724,0.024276,0.975724,7.717,0,,xtts_v2,it,IRig Mic Lav,Jabra PHS002W
965c6c8e062e,wav/965c6c8e062e/spoof/xtts_v1.1/it/e5eae7ed7815.wav,fake/it/tts_models_multilingual_multi-dataset_xtts_v1.1/novelle06_15_pirandello_f000004.wav,spoof,1,FAKE,1,FAKE,0.41998,0.58002,0.58002,10.501,1,,xtts_v1.1,it,SteelSeries Arctis 3 2019 Headset,iiyama ProLite XUB2792QSN
2d2491ed5756,wav/2d2491ed5756/spoof/bark/en/398b6e20fdbf.wav,fake/en/tts_models_multilingual_multi-dataset_bark/pink_fairy_book_32_f000120.wav,spoof,1,FAKE,0,REAL,0.653188,0.346812,0.653188,8.213,0,,bark,en,Jabra Evolve2 40 Headset,Sigma SP300
0af776b43107,wav/0af776b43107/spoof/bark/en/30759ceb657b.wav,fake/en/tts_models_multilingual_multi-dataset_bark/jane_eyre_36_f000132.wav,spoof,1,FAKE,0,REAL,0.839682,0.160318,0.839682,5.907,0,,bark,en,UM10 USB,Bose Mini II SE Soundlink
3b5ab255ffd9,wav/3b5ab255ffd9/spoof/bark/de/325be3d738b4.wav,fake/de/tts_models_multilingual_multi-dataset_bark/toten_seelen_04_f000145.wav,spoof,1,FAKE,0,REAL,0.559929,0.440071,0.559929,13.027,0,,bark,de,Jabra PHS002W,Meeting Owl Pro
dd642a8c091a,wav/dd642a8c091a/benign/pl/9a1bf4d94b71.wav,pl_PL/by_book/female/nina_brown/saragossie/wavs/saragossie_26_f000082.wav,bona-fide,0,REAL,1,FAKE,0.404762,0.595238,0.595238,8.8,0,,bark,pl,Jabra Evolve2 40 Headset,Jabra Evolve2 40 Headset
7a138d4031ea,wav/7a138d4031ea/spoof/bark/pl/ca3b5616beb4.wav,fake/pl/tts_models_multilingual_multi-dataset_bark/lalka_1_16_f000109.wav,spoof,1,FAKE,0,REAL,0.577811,0.422189,0.577811,5.977,0,,bark,pl,Logitech Brio Ultra HD Webcam,Logitech Z323
e9f8427e4653,wav/e9f8427e4653/spoof/vits/it/51ebb0ebc453.wav,fake/it/tts_models_it_mai_male_vits/novelle12_12_pirandello_f000369.wav,spoof,1,FAKE,1,FAKE,0.333524,0.666476,0.666476,7.243,1,,vits,it,ThinkPad P14s Gen2,ThinkPad P14s Gen2
2a16eaf2ea3d,wav/2a16eaf2ea3d/benign/fr/82de2e91810d.wav,fr_FR/female/nadine_eckert_boulet/madame_bovary/wavs/madame_bovary_3_07_f000060.wav,bona-fide,0,REAL,0,REAL,0.90666,0.09334,0.90666,8.5,1,,vits,fr,Sony SRS-BTS500 Bluetooth mic,Built-in speaker MacBook Air 2011
e6c84a12959b,wav/e6c84a12959b/benign/pl/815a07ede378.wav,pl_PL/by_book/female/nina_brown/saragossie/wavs/saragossie_09_f000018.wav,bona-fide,0,REAL,0,REAL,0.917991,0.082009,0.917991,8.04,1,,xtts_v2,pl,Sennheiser Profile USB Microphone,iiyama ProLite XUB2792QSN
dfebbf7d7f86,wav/dfebbf7d7f86/benign/en/eb0d779a3b22.wav,en_US/by_book/male/elliot_miller/pirates_of_ersatz/wavs/piratesofersatz_02_leinster_64kb_f000035.wav,bona-fide,0,REAL,0,REAL,0.929855,0.070145,0.929855,13.68,1,,bark,en,Thinkpad T470s Built-in Mic,JBL Flip 4
af0354735d52,wav/af0354735d52/spoof/bark/es/9c7285540c5d.wav,fake/es/tts_models_multilingual_multi-dataset_bark/trafalgar_01_perezgaldos_f000029.wav,spoof,1,FAKE,0,REAL,0.947965,0.052035,0.947965,14.053,0,,bark,es,IRig Mic Lav,Dell Zylux Multimediasystem
e9f8427e4653,wav/e9f8427e4653/benign/it/642312f537a4.wav,it_IT/by_book/mix/novelle_per_un_anno_13/wavs/novelle_per_un_anno_vol_13_candelora_12_pirandello_f000079.wav,bona-fide,0,REAL,0,REAL,0.856635,0.143365,0.856635,11.62,1,,xtts_v2,it,ThinkPad P14s Gen2,ThinkPad P14s Gen2
41e4a426e23d,wav/41e4a426e23d/spoof/vits/es/33073c0a624b.wav,fake/es/tts_models_es_css10_vits/quijote_vol1_07_cervantes_f000089.wav,spoof,1,FAKE,1,FAKE,0.227399,0.772601,0.772601,6.834,1,,vits,es,Logitech Brio Ultra HD Webcam,Sigma SP300
5716a9adc44d,wav/5716a9adc44d/benign/fr/7800ece22595.wav,fr_FR/female/nadine_eckert_boulet/les_tribulations_dun_chinoise/wavs/les_tribulations_dun_chinoise_10_f000088.wav,bona-fide,0,REAL,0,REAL,0.955602,0.044398,0.955602,9.43,1,,vits,fr,Jabra Evolve2 40 Headset,JBL Flip 4
48a43214871e,wav/48a43214871e/spoof/bark/de/29afb93407d6.wav,fake/de/tts_models_multilingual_multi-dataset_bark/ferien_vom_ich_001_f000100.wav,spoof,1,FAKE,1,FAKE,0.237816,0.762184,0.762184,5.587,1,,bark,de,Beats Flex,Soundbar SAMSUNG HW-B750D
0afe9a9f46a3,wav/0afe9a9f46a3/spoof/xtts_v2/de/fa3e1c76cb3d.wav,./fake/de/tts_models_multilingual_multi-dataset_xtts_v2/zweiplaneten_40_lasswitz_f000152.wav,spoof,1,FAKE,0,REAL,0.991914,0.008086,0.991914,8.187,0,,xtts_v2,de,Sennheiser Momentum 2 mic,Built-in speaker MacBook Air 2011
848b3883f811,wav/848b3883f811/spoof/xtts_v1.1/fr/dd2119ac6f7f.wav,fake/fr/tts_models_multilingual_multi-dataset_xtts_v1.1/l_ile_mysterieuse_1_18_f000126.wav,spoof,1,FAKE,0,REAL,0.927193,0.072807,0.927193,11.152,0,,xtts_v1.1,fr,SteelSeries Arctis 3 2019 Headset,SteelSeries Arctis 3 2019 Headset
c18ae1721be1,wav/c18ae1721be1/spoof/xtts_v2/pl/f0aa091f1280.wav,fake/pl/tts_models_multilingual_multi-dataset_xtts_v2/saragossie_27_f000059.wav,spoof,1,FAKE,0,REAL,0.637335,0.362665,0.637335,15.429,0,,xtts_v2,pl,Jabra Evolve2 40 Headset,Bose QuietComfort
83e4ddad49d2,wav/83e4ddad49d2/benign/fr/eb6d48fbbcdd.wav,fr_FR/female/ezwa/monsieur_lecoq/wavs/monsieur_lecoq_2_45_f000103.wav,bona-fide,0,REAL,1,FAKE,0.218594,0.781406,0.781406,10.487,0,,xtts_v1.1,fr,ThinkPad P14s Gen2,Oliver Wyman speaker (20cm)
